Gene,Level_1_binary,Level_1_annotation,Level_2_binary_t_cells,Level_2_annotation_t_cells,Level_2_binary_macrophages,Level_2_annotation_macrophages,Level_2_binary_dendritic_cells,Level_2_annotation_dendritic_cells,Level_2_binary_b_cells,Level_2_annotation_b_cells,Level_3_binary_synthetic_t_cells,Level_3_annotation_synthetic_t_cells
Adgre1,TRUE,Macrophages,FALSE,NA,TRUE,Macrophages,FALSE,NA,FALSE,NA,FALSE,NA
Bcl11a,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Prethymic
Bcl11b,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"T cell development, DN commitment"
Bcl2,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"T cell survival, memory"
Ccl17,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Ccl22,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Ccl25,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Ccr4,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Ccr7,TRUE,T cells,TRUE,Naïve T cells,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Naive and central memory
Cd19,TRUE,B cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Cd22,TRUE,B cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Cd247,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell receptor
Cd28,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Co-stimulation
Cd3d,TRUE,T cells,TRUE,T cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Cd3e,TRUE,T cells,TRUE,T cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Cd3g,TRUE,T cells,TRUE,T cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Cd4,FALSE,NA,TRUE,CD4 T cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Cd40,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Activated B cells,FALSE,NA
Cd44,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell activation
Cd68,TRUE,Macrophages,FALSE,NA,TRUE,Activated Macrophages,FALSE,NA,FALSE,NA,FALSE,NA
Cd79a,TRUE,B cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Cd83,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Activated B cells,FALSE,NA
Cd86,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Activated B cells,FALSE,NA
Cd8a,FALSE,NA,TRUE,CD8 T cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Csf1r,TRUE,Macrophages,FALSE,NA,TRUE,Monocytes,FALSE,NA,FALSE,NA,FALSE,NA
Ets1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"T cell development, DN commitment"
Flt3,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"FLT3 receptor, dendritic cell marker"
Foxp3,FALSE,NA,TRUE,Treg,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Gata3,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Th2 cell marker, DN commitment"
Gfi1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell development
H2-Aa,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
H2-K1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Hes1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Notch signaling
Hhex,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Prethymic
Hoxa9,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Prethymic
Ifng,FALSE,NA,TRUE,Th1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Ikzf1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell development
Il17a,FALSE,NA,TRUE,Th17,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Il2ra,FALSE,NA,TRUE,Treg,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Treg marker
Il4,FALSE,NA,TRUE,Th2,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Il7r,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"T cell survival, homeostasis"
Irf4,TRUE,Dendritic cells,FALSE,NA,FALSE,NA,TRUE,cDC2,FALSE,NA,FALSE,NA
Irf8,TRUE,Dendritic cells,FALSE,NA,FALSE,NA,TRUE,cDC1,FALSE,NA,FALSE,NA
Itgam,TRUE,Macrophages,FALSE,NA,TRUE,Macrophages,FALSE,NA,FALSE,NA,FALSE,NA
Itgax,TRUE,Dendritic cells,FALSE,NA,FALSE,NA,TRUE,Dendritic cells,TRUE,Age-associated B cells,FALSE,NA
Kit,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell development
Lef1,TRUE,T cells,TRUE,Naïve T cells,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell development
Lmo2,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Prethymic
Lyl1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Prethymic
Lyz2,TRUE,Macrophages,FALSE,NA,TRUE,Monocytes,FALSE,NA,FALSE,NA,FALSE,NA
Mef2c,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Prethymic
Meis1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Prethymic
Ms4a1,TRUE,B cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Pdcd1,FALSE,NA,TRUE,Exhausted T cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Rag1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,V(D)J recombination
Rag2,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,V(D)J recombination
Runx1,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell development
Sell,FALSE,NA,TRUE,Naïve T cells,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell migration / central memory
Sirpa,TRUE,Dendritic cells,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
Tbx21,FALSE,NA,TRUE,Th1,FALSE,NA,FALSE,NA,TRUE,Age-associated B cells,FALSE,NA
Tcf12,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell development
Tcf3,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell development
Tcf7,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,T cell development
Xcr1,TRUE,Dendritic cells,FALSE,NA,FALSE,NA,TRUE,Dendritic cells,FALSE,NA,FALSE,NA
